codigo_clase,clase,codigo_seccion,seccion,codigo_division,gsectores,gsectores_label,total_plazas_equiv,n_establecimientos,n_matrices,n_provincias_present,n_cantones_present,effnum_industry_prov,effnum_industry_canton,ren_prov_pop,ren_prov_con,ren_canton_pop,ren_canton_con,tradable_prov_pop,tradable_prov_con,tradable_canton_pop,tradable_canton_con,tradability_pctile
A0220,Extracción de madera.,A,"Agricultura, ganadería,  silvicultura y pesca.",A02,1,"Agricultura, ganadería, silvicultura y pesca",1999.0000000000007,269,125,21,74,3.215998452629762,3.3941433864782558,0.40503733403717807,0.6407916065931984,0.19912659882911077,0.46944743441839465,True,True,True,True,0.45215311004784686
C1394,"Fabricación de cuerdas, cordeles, bramantes y redes.",C,Industrias manufactureras.,C13,3,Industrias manufactureras,484.74999999999994,70,65,12,23,3.2160722210061783,3.340703600043085,0.4050466247588497,0.6408063050319992,0.19599140926776729,0.462056123038386,True,True,True,True,0.44976076555023925
H5022,"Transporte de carga, por vías de navegación interiores.",H,Transporte y almacenamiento.,H50,6,Servicios,759.3333333333335,126,67,12,24,3.2339583815014485,4.022652440997803,0.4072992883934486,0.6443701442839044,0.23599978187092546,0.5563771629408766,True,True,True,True,0.4473684210526316
G4782,"Venta al por menor de productos textiles, prendas de vestir y calzado en puestos de venta y mercados.",G,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G47,4,Comercio,1920.916666666667,2513,1922,24,143,3.238999538285144,3.457285006033298,0.4079341943905152,0.6453746009097684,0.20283097266218064,0.4781806162348214,True,True,True,True,0.4449760765550239
O8422,Actividades de defensa.,O,Administración pública y defensa; planes de seguridad social de afiliación obligatoria.,O84,6,Servicios,2573.5833333333344,41,17,18,23,3.2428315442134874,3.2619553467593985,0.4084168144813183,0.6461381327557771,0.19137143006989837,0.4511643717893869,True,True,True,True,0.44258373205741625
C1820,Reproducción de grabaciones.,C,Industrias manufactureras.,C18,3,Industrias manufactureras,71.5,92,83,16,32,3.2442995020052003,5.173323963457485,0.40860169569913984,0.6464306251327537,0.30350703791371,0.7155277151034632,True,True,True,True,0.44019138755980863
Z0000,Actividades No Válidas.,Z,Actividades No válidas,Z00, ,Otros / No clasificado,1320.1666666666672,758,628,23,80,3.264852166123941,5.173381109678644,0.4111901908133739,0.6505257684776298,0.3035103905512858,0.715535619055611,True,True,True,True,0.43779904306220097
F4290,Construcción de otras obras de ingeniería civil.,F,Construcción.,F42,5,Construcción,2091.083333333334,399,319,24,96,3.268088611615807,3.5176764065625425,0.41159780333965174,0.6511706341816814,0.20637399746007895,0.48653341245207365,True,True,True,True,0.4354066985645933
H5210,Almacenamiento y depósito.,H,Transporte y almacenamiento.,H52,6,Servicios,9725.999999999996,1314,250,24,101,3.2795690190861855,3.6480806617965382,0.4130436975787053,0.6534581193455107,0.21402451567950279,0.5045697580292003,True,True,True,True,0.43301435406698563
A0129,Cultivo de otras plantas perennes.,A,"Agricultura, ganadería,  silvicultura y pesca.",A01,1,"Agricultura, ganadería, silvicultura y pesca",777.5000000000001,298,201,16,53,3.2840982744401477,7.511276116791161,0.4136141324034616,0.6543605789883513,0.44066932232785816,1.038892262561272,True,True,True,False,0.430622009569378
C2930,"Fabricación de partes, piezas y accesorios para vehículos automotores.",C,Industrias manufactureras.,C29,3,Industrias manufactureras,1391.4166666666667,267,237,21,41,3.3176161946810265,3.467021223584123,0.41783553028558285,0.661039065398459,0.20340217418951734,0.47952724241696293,True,True,True,True,0.42822966507177035
P8522,Enseñanza de formación técnica y profesional.,P,Enseñanza.,P85,6,Servicios,2287.8333333333335,469,349,24,72,3.327676387655745,4.137643076619169,0.4191025563126158,0.6630435710951692,0.24274601842053653,0.572281635064726,True,True,True,True,0.4258373205741627
G4753,"Venta al por menor de tapices, alfombras y cubrimientos para paredes y pisos en comercios especializados.",G,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G47,4,Comercio,694.0833333333334,722,570,23,58,3.334951367865174,3.7722988980207686,0.42001880009587717,0.6644931197578938,0.2213121143680034,0.5217505090062382,True,True,True,True,0.423444976076555
H5021,Transporte de pasajeros por vías de navegación interiores.,H,Transporte y almacenamiento.,H50,6,Servicios,304.3333333333333,114,78,9,25,3.3727097135406523,4.609705433237042,0.42477425626145593,0.67201651609781,0.270440832930452,0.6375730611967554,True,True,True,True,0.42105263157894735
G4649,Venta al por mayor de otros enseres domésticos.,G,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G46,4,Comercio,49007.91666666667,17044,11180,24,212,3.434014113602681,4.038229274196265,0.4324952085976016,0.6842314924373841,0.2369136389070469,0.5585316106317176,True,True,True,True,0.41866028708133973
C2592,Tratamiento y revestimiento de metales; maquinado.,C,Industrias manufactureras.,C25,3,Industrias manufactureras,4974.583333333333,3840,3631,24,151,3.457785704823761,6.385939977734668,0.43548910989321155,0.688968010925873,0.37464843505405576,0.8832458731238123,True,True,True,True,0.41626794258373206
A0164,Tratamiento de semillas para propagación.,A,"Agricultura, ganadería,  silvicultura y pesca.",A01,1,"Agricultura, ganadería, silvicultura y pesca",1004.2500000000007,108,60,13,43,3.4644020481743723,4.093981644110806,0.4363224019831424,0.6902863253927048,0.2401845024309548,0.5662427777920076,True,True,True,True,0.4138755980861244
O8413,Regulación y facilitación de la actividad económica.,O,Administración pública y defensa; planes de seguridad social de afiliación obligatoria.,O84,6,Servicios,12796.999999999996,311,150,24,89,3.4652487306470245,3.5378577323515934,0.4364290369882739,0.6904550279060663,0.20755798950362242,0.4893247122105267,True,True,True,True,0.41148325358851673
C1392,"Fabricación de artículos confeccionados de materiales textiles, excepto prendas de vestir.",C,Industrias manufactureras.,C13,3,Industrias manufactureras,2635.916666666667,1972,1762,24,115,3.4711418533555496,3.728291763668151,0.4371712434122425,0.6916292397795697,0.21873031684502225,0.5156638373587632,True,True,True,True,0.4090909090909091
G4690,Venta al por mayor de otros productos no especializado.,G,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G46,4,Comercio,35328.166666666664,18589,13166,24,218,3.4736252542810075,4.901329018182448,0.4374840141131645,0.6921240604370666,0.28754971903110205,0.6779078167388789,True,True,True,True,0.40669856459330145
G4510,Venta de vehículos automotores.,G,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G45,4,Comercio,9643.583333333336,2348,1576,23,104,3.479424640136403,3.6299585658044466,0.4382144148955409,0.693279595128476,0.21296133391972918,0.5020632724447482,True,True,True,True,0.4043062200956938
C2825,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco.",C,Industrias manufactureras.,C28,3,Industrias manufactureras,346.3333333333333,114,99,14,33,3.4805532505018615,4.8907269972958805,0.4383565571696513,0.6935044721176763,0.28692772281012097,0.6764414404140963,True,True,True,True,0.4019138755980861
C3240,Fabricación de juegos y juguetes.,C,Industrias manufactureras.,C32,3,Industrias manufactureras,245.58333333333334,226,174,18,47,3.5022455593896735,3.6398742004988227,0.44108858428049946,0.6978266910701048,0.21354306143889915,0.5034347139950519,True,True,True,True,0.39952153110047844
Q8720,"Actividades de atención en instituciones para personas con retraso mental, enfermos mentales y toxicómanos.",Q,Actividades de atención de la salud humana y de asistencia social.,Q87,6,Servicios,869.9999999999993,263,197,17,66,3.512281817293005,4.254658695440364,0.4423525958168082,0.6998264276747044,0.24961105608470108,0.5884661846807893,True,True,True,True,0.39712918660287083
M6920,"Actividades de contabilidad, teneduría de libros y auditorias; consultoría fiscal.",M,"Actividades profesionales, científicas y técnicas.",M69,6,Servicios,17388.25,17207,16128,24,200,3.5206865358924673,4.027174300583991,0.4434111239426769,0.7015010780868988,0.2362650689897218,0.5570025859533495,True,True,True,True,0.39473684210526316
A0124,Cultivo de frutas con hueso y con pepa.,A,"Agricultura, ganadería,  silvicultura y pesca.",A01,1,"Agricultura, ganadería, silvicultura y pesca",16.499999999999996,26,16,7,15,3.5242718446601953,4.958765494561094,0.44386267388163697,0.702215455223345,0.2909193852142021,0.6858519143823097,True,True,True,True,0.3923444976076555
C1812,Actividades de servicios relacionados con la impresión.,C,Industrias manufactureras.,C18,3,Industrias manufactureras,4432.666666666667,3517,3151,24,135,3.5325884325954062,3.921280468451141,0.4449101024345982,0.703872545493404,0.23005252101263876,0.5423563020003669,True,True,True,True,0.38995215311004783
C3314,Reparación de equipo eléctrico.,C,Industrias manufactureras.,C33,3,Industrias manufactureras,2549.916666666666,1741,1622,24,126,3.536302838953825,4.595199219465912,0.44537791150574824,0.7046126454819487,0.26958978667776845,0.6355666919711325,True,True,True,True,0.3875598086124402
G4759,"Venta al por menor de aparatos eléctricos de uso doméstico, muebles, equipo de iluminación y otros enseres domésticos en comercios especializados.",G,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G47,4,Comercio,21477.416666666664,10921,7937,24,205,3.5424857429467305,3.956071261648299,0.4461566142902121,0.7058445966291221,0.23209361696265557,0.5471682521003104,True,True,True,True,0.38516746411483255
C1399,Fabricación de otros productos textiles n.c.p.,C,Industrias manufactureras.,C13,3,Industrias manufactureras,903.5833333333336,550,465,20,66,3.5526536351042686,3.716566504535232,0.44743720443754226,0.7078705615191138,0.2180424228153152,0.5140421048062234,True,True,True,True,0.3827751196172249
N7911,Actividades de agencias de viajes.,N,Actividades de servicios administrativos y de apoyo.,N79,6,Servicios,5171.916666666668,2482,2067,24,106,3.553898621650612,3.9737684797767323,0.44759400365217833,0.7081186266040227,0.2331318721137758,0.5496159723939884,True,True,True,True,0.3803827751196172
J5813,"Publicación de periódicos, diarios y revistas.",J,Información y comunicación.,J58,6,Servicios,835.3333333333329,229,174,22,46,3.554952751736302,3.8405337577465732,0.4477267655443015,0.7083286633068125,0.22531529690675856,0.531188142066701,True,True,True,True,0.37799043062200954
C1313,Servicio de acabado de productos textiles.,C,Industrias manufactureras.,C13,3,Industrias manufactureras,632.1666666666665,729,648,23,85,3.5778569439056196,4.82199263303604,0.45061142269547316,0.7128923514783335,0.28289523548731976,0.666934720371947,True,True,True,True,0.37559808612440193
G4620,Venta al por mayor de materias primas agropecuarias y animales vivos.,G,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas.,G46,4,Comercio,19043.75,6826,5095,24,213,3.5800298083466426,8.800122320336818,0.45088508303249747,0.7133252973632838,0.5162829696322964,1.2171538958277994,True,True,True,False,0.37320574162679426
