codigo_clase,display_code,class_name,class_name_es,codigo_seccion,codigo_division,sector,gsector,gsector_label,plazas_equiv_estab_nat,fte_share_nat,plazas_equiv_estab_nat_pctile,n_estab_nat,wage_per_fte,wage_premium,wage_per_fte_pctile,wage_per_fte_pctile_gsector,fte_per_firm,fte_per_firm_premium,fte_per_firm_pctile,fte_per_firm_pctile_gsector,n_firms,quadrant
4659,G4659,Wholesale of other machinery and equipment,Venta Al Por Mayor De Otros Tipos De Maquinaria Y Equipo.,G,46,Terciario,4,Comercio,23629.333333333332,0.008066522181464263,92.23300970873787,8599,11667.336017657075,1.1774669723471556,78.81773399014779,88.37209302325581,5.582113019806627,1.013432881789164,53.94088669950739,79.06976744186046,3551.0,"many jobs, well paid"
4661,G4661,"Wholesale of solid, liquid and gaseous fuels and related products","Venta Al Por Mayor De Combustibles Sólidos, Líquidos Y Gaseosos Y Productos Conexos.",G,46,Terciario,4,Comercio,3330.083333333332,0.0011368154444105253,64.56310679611651,825,13511.03826713473,1.3635333119397333,88.17733990147784,97.67441860465115,16.4729797979798,2.990670258571666,78.81773399014779,97.67441860465115,330.0,"many jobs, well paid"
4662,G4662,Wholesale of metals and metal ores,Venta Al Por Mayor De Metales Y Minerales Metalíferos.,G,46,Terciario,4,Comercio,4029.166666666668,0.0013754667485110217,69.1747572815534,649,10138.768819007284,1.0232040464573458,66.25615763546799,81.3953488372093,10.079239766081871,1.8298864544914104,69.45812807881774,95.34883720930233,285.0,"many jobs, well paid"
4663,G4663,"Wholesale of construction materials, hardware, plumbing and heating equipment and supplies","Venta Al Por Mayor De Materiales Para La Construcción, Artículos De Ferretería, Equipo, Materiales De Fontanería (Plomería O Gasfitería) Y Calefacción.",G,46,Terciario,4,Comercio,25633.666666666668,0.008750756436587057,92.71844660194175,11079,8901.962215696014,0.8983855853814016,56.896551724137936,69.76744186046511,7.78055296192551,1.4125597568768924,62.5615763546798,88.37209302325581,3213.0,"many jobs, well paid"
4669,G4669,Wholesale of waste and scrap and other products n.e.c.,"Venta Al Por Mayor De Desperdicios, Desechos, Chatarra Y Otros Productos N.C.P.",G,46,Terciario,4,Comercio,17909.416666666664,0.006113871464793156,89.56310679611651,7875,11918.82448710141,1.2028471762127768,80.78817733990148,90.69767441860465,5.299638523108702,0.9621496236027436,52.21674876847291,74.4186046511628,2582.0,"many jobs, well paid"
4690,G4690,Non-specialized wholesale trade,Venta Al Por Mayor De Otros Productos No Especializado.,G,46,Terciario,4,Comercio,35328.166666666664,0.012060240381184391,94.66019417475728,18589,7676.676405252269,0.77472980215036,44.58128078817734,55.81395348837209,3.4402846534653464,0.6245838409515396,33.743842364532014,53.48837209302325,3232.0,"few jobs, poorly paid"
4711,G4711,"Retail sale in non-specialized stores with food, beverages or tobacco predominating","Venta Al Por Menor En Comercios No Especializados Con Predominio De La Venta De Alimentos, Bebidas O Tabaco.",G,47,Terciario,4,Comercio,38375.333333333336,0.01310047444790733,95.3883495145631,64096,7495.2323761082835,0.7564184797265168,41.13300492610838,51.162790697674424,3.877023838581076,0.7038738605895544,40.88669950738916,60.46511627906976,16388.0,"few jobs, poorly paid"
4719,G4719,Other retail sale in non-specialized stores,Otras Actividades De Venta Al Por Menor En Comercios No Especializados.,G,47,Terciario,4,Comercio,26242.500000000004,0.008958598423445829,93.20388349514563,21786,6725.0471372300335,0.6786914236105352,26.84729064039409,34.883720930232556,1.9455490177469867,0.3532145158511513,13.546798029556651,20.930232558139537,10537.0,"few jobs, poorly paid"
4721,G4721,Retail sale of food in specialized stores,Venta Al Por Menor De Alimentos En Comercios Especializados.,G,47,Terciario,4,Comercio,25939.249999999996,0.008855075703738865,92.96116504854369,33609,6626.172535317143,0.6687130036884372,24.137931034482758,27.906976744186046,1.8457085446368766,0.33508847325327545,11.330049261083744,16.27906976744186,10451.0,"few jobs, poorly paid"
4722,G4722,Retail sale of beverages in specialized stores,Venta Al Por Menor De Bebidas En Comercios Especializados.,G,47,Terciario,4,Comercio,4667.75,0.001593464715291579,73.05825242718447,10353,5805.874197648177,0.5859285361274832,7.8817733990147785,11.627906976744185,1.3408186016881667,0.24342568031924725,4.433497536945813,9.30232558139535,2093.0,"few jobs, poorly paid"
4723,G4723,Retail sale of tobacco products in specialized stores,Venta Al Por Menor De Tabaco En Comercios Especializados.,G,47,Terciario,4,Comercio,135.75000000000034,4.63419924162246e-05,13.349514563106796,68,7014.776732026156,0.7079309199503745,32.51231527093596,37.2093023255814,3.8249999999999935,0.6944289302436641,40.14778325123153,58.139534883720934,10.0,"few jobs, poorly paid"
4730,G4730,Retail sale of automotive fuel in specialized stores,Venta Al Por Menor De Combustibles Para Vehículos Automotores En Comercios Especializados.,G,47,Terciario,4,Comercio,16348.999999999996,0.005581180361052331,88.3495145631068,11565,6694.972284760327,0.6756562709906312,25.862068965517242,32.55813953488372,2.626683501683501,0.4768745135066035,24.63054187192118,41.86046511627907,7326.0,"few jobs, poorly paid"
4741,G4741,"Retail sale of computers, peripheral units, software and telecommunications equipment in specialized stores","Venta Al Por Menor De Computadores, Equipo Periférico, Programas Informáticos Y Equipo De Telecomunicaciones En Comercios Especializados.",G,47,Terciario,4,Comercio,13707.499999999995,0.004679431757240492,85.92233009708737,12475,7334.37951031501,0.7401852164869617,38.17733990147783,44.18604651162791,2.480693797499387,0.4503700758325738,22.167487684729064,37.2093023255814,4079.0,"few jobs, poorly paid"
4742,G4742,Retail sale of audio and video equipment in specialized stores,Venta Al Por Menor De Equipo De Sonido Y Vídeo En Comercios Especializados.,G,47,Terciario,4,Comercio,2164.25,0.0007388262032177815,54.61165048543689,2397,9000.247297696567,0.9083045109831794,58.128078817733986,74.4186046511628,4.6577471967380175,0.8456142230526045,48.029556650246306,67.44186046511628,654.0,"few jobs, well paid"
4751,G4751,Retail sale of textiles in specialized stores,Venta Al Por Menor De Productos Textiles En Comercios Especializados.,G,47,Terciario,4,Comercio,2387.000000000001,0.0008148680360775534,56.310679611650485,2217,6383.946922645949,0.6442676068690388,19.704433497536947,23.25581395348837,2.4707456626061277,0.44856399147392134,21.428571428571427,34.883720930232556,903.0,"few jobs, poorly paid"
4752,G4752,"Retail sale of hardware, paints and glass in specialized stores","Venta Al Por Menor De Artículos De Ferretería, Pinturas Y Productos De Vidrio En Comercios Especializados.",G,47,Terciario,4,Comercio,20390.666666666668,0.006960914328017887,90.77669902912622,18870,7282.366663832199,0.7349360825991069,36.69950738916256,41.86046511627907,2.903021041495239,0.5270436068811477,27.339901477832512,46.51162790697674,8507.0,"few jobs, poorly paid"
4753,G4753,"Retail sale of carpets, rugs, wall and floor coverings in specialized stores","Venta Al Por Menor De Tapices, Alfombras Y Cubrimientos Para Paredes Y Pisos En Comercios Especializados.",G,47,Terciario,4,Comercio,694.0833333333334,0.00023694441671868246,33.737864077669904,722,7108.851505711319,0.7174249414457421,33.743842364532014,39.53488372093023,2.5165505226480835,0.4568798659729792,22.906403940886698,39.53488372093023,287.0,"few jobs, poorly paid"
4759,G4759,"Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","Venta Al Por Menor De Aparatos Eléctricos De Uso Doméstico, Muebles, Equipo De Iluminación Y Otros Enseres Domésticos En Comercios Especializados.",G,47,Terciario,4,Comercio,21477.416666666664,0.007331906300454953,91.50485436893204,10921,8523.24954875944,0.860165921813602,53.44827586206896,65.11627906976744,4.505098139179201,0.817900779459592,46.55172413793103,65.11627906976744,3923.0,"few jobs, well paid"
4761,G4761,"Retail sale of books, newspapers and stationary in specialized stores","Venta Al Por Menor De Libros, Periódicos Y Artículos De Papelería En Comercios Especializados.",G,47,Terciario,4,Comercio,5589.5,0.0019081294041288159,75.48543689320388,10367,6541.081690917943,0.6601256398911178,22.906403940886698,25.581395348837212,1.8622947516873174,0.33809969992486694,12.068965517241379,18.6046511627907,3309.0,"few jobs, poorly paid"
4762,G4762,Retail sale of music and video recordings in specialized stores,Venta Al Por Menor De Grabaciones De Música Y De Vídeo En Comercios Especializados.,G,47,Terciario,4,Comercio,21.500000000000004,7.339615741796144e-06,4.611650485436893,33,5649.28997004194,0.5701260636420925,5.172413793103448,2.3255813953488373,1.1590277777777778,0.21042154767187315,2.70935960591133,2.3255813953488373,120.0,"few jobs, poorly paid"
4763,G4763,Retail sale of sporting equipment in specialized stores,Venta Al Por Menor De Equipo De Deporte En Comercios Especializados.,G,47,Terciario,4,Comercio,766.0833333333333,0.00026152359501679045,36.16504854368932,932,6652.605448548812,0.6713806119810334,24.876847290640395,30.23255813953488,2.3540372670807455,0.4273755767666937,19.704433497536947,32.55813953488372,322.0,"few jobs, poorly paid"
4764,G4764,Retail sale of games and toys in specialized stores,Venta Al Por Menor De Juegos Y Juguetes En Comercios Especializados.,G,47,Terciario,4,Comercio,1036.2499999999998,0.0003537524098807559,42.4757281553398,662,6076.8675416580945,0.6132771709670637,14.532019704433496,16.27906976744186,2.301609848484848,0.41785737645009613,19.458128078817737,30.23255813953488,176.0,"few jobs, poorly paid"
4771,G4771,"Retail sale of clothing, footwear and leather articles in specialized stores","Venta Al Por Menor De Prendas De Vestir, Calzado Y Artículos De Cuero En Comercios Especializados.",G,47,Terciario,4,Comercio,19563.416666666664,0.006678509810696915,90.53398058252428,32569,7476.713900641817,0.7545495961007271,40.64039408866995,48.837209302325576,2.9175353620441533,0.5296786824607546,27.832512315270936,48.837209302325576,9497.0,"few jobs, poorly paid"
4772,G4772,"Retail sale of pharmaceutical and medical goods, cosmetic and toilet articles in specialized stores","Venta Al Por Menor De Productos Farmacéuticos Y Medicinales, Cosméticos Y Artículos De Tocador En Comercios Especializados.",G,47,Terciario,4,Comercio,26794.833333333336,0.00914715258289011,93.44660194174757,20474,7571.576146351991,0.76412308923381,43.84236453201971,53.48837209302325,4.808724058416602,0.8730240794047628,49.01477832512315,69.76744186046511,6505.0,"few jobs, poorly paid"
4773,G4773,Other retail sale of new goods in specialized stores,Venta Al Por Menor De Otros Productos Nuevos En Comercios Especializados.,G,47,Terciario,4,Comercio,15571.583333333334,0.005315787821303432,88.10679611650485,17055,7436.63506439796,0.750504841934409,39.90147783251231,46.51162790697674,2.149219285751965,0.3901908626049128,17.48768472906404,27.906976744186046,6319.0,"few jobs, poorly paid"
