id_code,id_name,id_abbr,region,year_gva,gva_real,year_enemdu,tasa_desempleo,tasa_informalidad,tasa_subempleo,gva_per_worker,year_reem,num_empresas,avg_sales_per_firm_M,formal_wage_per_fte,year_census,share_working_age,avg_schooling,share_nbi_poor,share_rural,net_migration_rate,year_malnutrition,malnutrition,rank_gva_real,rank_gva_per_worker,rank_tasa_desempleo,rank_tasa_informalidad,rank_tasa_subempleo,rank_num_empresas,rank_avg_sales_per_firm_M,rank_formal_wage_per_fte,rank_share_working_age,rank_avg_schooling,rank_net_migration_rate,rank_share_nbi_poor,rank_share_rural,rank_malnutrition,avg_rank_economic,avg_rank_socioeconomic,avg_rank_overall,z_gva_real,z_gva_per_worker,z_tasa_desempleo,z_tasa_informalidad,z_tasa_subempleo,z_num_empresas,z_avg_sales_per_firm_M,z_formal_wage_per_fte,z_share_working_age,z_avg_schooling,z_net_migration_rate,z_share_nbi_poor,z_share_rural,z_malnutrition,z_economic,z_socioeconomic,z_overall
11,LOJA,LOJ,Sierra,2023,1781.57345283208,2023,0.0357,0.6216,0.2074,6500.028124172692,2024,32726,0.0537205714111104,9822.05780618304,2022,0.6384725835923868,11.578216992497152,0.3936412325615526,0.3957018752793966,-0.373805418389398,2023,0.121219194,11.0,18.0,18.0,12.0,13.0,7.0,18.0,7.0,13.0,6.0,21.0,9.0,5.0,6.0,13.0,10.0,11.714285714285714,-0.33696309412953884,-0.5132475661651782,-0.2763830362819031,0.08647236598402565,-0.21499770231710882,-0.18840513264409917,-0.6190096541789384,0.2586184135698632,-0.05150969164261658,0.7634210185674993,-1.5998106938264995,0.5394602574708984,0.6942801782226558,1.057302278921595,-0.2254894257703597,0.23385722461892203,-0.02862657560352468
12,LOS RÍOS,RIO,Costa,2023,3680.360420050125,2023,0.0197,0.565,0.2332,10042.424511248422,2024,29137,0.147164331056732,8836.677750175268,2022,0.6380200567071569,10.55731993279119,0.6138259368127243,0.4600546151346684,-0.1090488865545283,2023,0.105472156,7.0,9.0,10.0,8.0,19.0,11.0,5.0,20.0,14.0,21.0,16.0,19.0,7.0,2.0,11.125,13.166666666666666,12.0,-0.1149756868365587,-0.2585098135804253,0.45428476078519714,0.4883635692614481,-0.8903795792624354,-0.23767952222028255,0.3580905463533488,-0.7665751577525229,-0.07036872426036006,-0.9504700661338945,-0.3246180161315242,-1.0265212250027127,0.26008687845399325,1.2666213055710203,-0.12092261040652887,-0.1408783079172463,-0.12947505219683636
13,MANABÍ,MAN,Costa,2023,5563.243049022557,2023,0.019,0.5977,0.2506,8666.763279705097,2024,71792,0.1183309427094941,9345.940605296975,2022,0.6516756234147811,10.73907777262401,0.6012042006061278,0.4197000326460912,-0.2273354511438688,2023,0.192351133,3.0,11.0,8.0,9.0,22.0,3.0,8.0,12.0,8.0,16.0,19.0,18.0,6.0,11.0,9.5,13.0,11.0,0.10515234240463982,-0.35743517713371314,0.4862514769068827,0.25617554192625874,-1.345869682318586,0.3479429596331869,0.05659251542056263,-0.2367359327743992,0.49872625408998433,-0.6453333843280181,-0.894342056511761,-0.9367538397367048,0.5323626101618895,0.11177409545202416,-0.08599074449189595,-0.22226105347876435,-0.14439230548626814
14,MORONA SANTIAGO,MOR,Amazonia,2023,493.45594486215526,2023,0.0056,0.8079,0.2319,5640.796178000883,2024,9937,0.026355670725571,9736.381563056802,2022,0.572989174475866,10.576914510101552,0.6540797547611475,0.6735927857543582,0.0333804309431296,2023,0.196923767,21.0,19.0,1.0,21.0,18.0,17.0,23.0,9.0,23.0,20.0,9.0,22.0,22.0,12.0,16.125,18.0,16.928571428571427,-0.4875570632370286,-0.5750359125273751,1.0981857569505789,-1.2363603402100316,-0.8563487094938725,-0.501281717779692,-0.9051523570067084,0.16948048842864247,-2.7805271020051228,-0.917574515067859,0.36138894091453166,-1.3128114726403806,-1.1806729576686856,0.05099191545702656,-0.41175873185943584,-0.9632008651684149,-0.648091074706141
15,NAPO,NAP,Amazonia,2023,466.1848533333335,2023,0.0077,0.8635,0.2334,7339.349000059346,2024,6852,0.0285544175423234,10003.265188013844,2022,0.6232542244161762,11.60037645371636,0.6171251582978593,0.6607176760964496,0.0041845452819441,2023,0.174917821,22.0,15.0,3.0,23.0,20.0,23.0,22.0,5.0,18.0,4.0,12.0,20.0,20.0,9.0,16.625,13.833333333333334,15.428571428571429,-0.490745329749834,-0.45289104750992654,1.002285608585522,-1.6311509921927998,-0.8956150976883683,-0.5436365497224409,-0.8821610308473572,0.4471473388271402,-0.6857339586646409,0.8006225196045618,0.22076774695968604,-1.049985705743422,-1.0938035196335192,0.34350808244791176,-0.43084588753725805,-0.24410413917157045,-0.35081370966624903
16,PASTAZA,PAS,Amazonia,2023,876.2506418045114,2023,0.0105,0.841,0.1625,17806.07571666571,2024,6853,0.0308132180067123,10048.829523678634,2022,0.6075771791091453,11.731658452538364,0.5293189398558261,0.657007550373051,0.1493365500603136,2023,0.250292185,18.0,6.0,4.0,22.0,5.0,22.0,21.0,4.0,22.0,3.0,4.0,15.0,19.0,19.0,12.75,13.666666666666666,13.142857142857142,-0.4428044902697539,0.2997831733747998,0.8744187440987796,-1.4713885880630821,0.960376184304797,-0.5436228204414222,-0.8585417501689365,0.49455266606135634,-1.3390739445197035,1.0210199095506323,0.919888453683435,-0.4254967677225373,-1.068770992129299,-0.6584129459257727,-0.08590336013793276,-0.2584743811772075,-0.1598623691547648
17,PICHINCHA,PIC,Sierra,2023,28563.316087619045,2023,0.0754,0.2961,0.1421,20569.516540148183,2024,297627,0.2987865423197492,11236.76598496027,2022,0.6874169154415656,12.979241141890071,0.1586775267559466,0.3662093826358087,0.1736538885434506,2023,0.223045016,2.0,4.0,22.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,4.0,16.0,4.625,4.333333333333333,4.5,2.79409358201496,0.4985053455583598,-2.0893525077546444,2.397701812393934,1.4943990637499391,3.4484951384956473,1.943537167851574,1.730486776783596,1.9882425991597055,3.1154728501081532,1.037012257050323,2.2105518693806214,0.893268484363492,-0.2962273149498143,1.5272332973866707,1.4913867908520804,1.5118705088718463
18,TUNGURAHUA,TUN,Sierra,2023,2594.2021335338345,2023,0.0199,0.5518,0.1968,7494.568820477079,2024,49369,0.0909691893090806,9191.31236475017,2022,0.663419291184884,11.384060824174938,0.3155957251472934,0.6002906667234513,-0.0475199278834209,2023,0.278867941,9.0,14.0,11.0,7.0,10.0,5.0,10.0,16.0,2.0,8.0,14.0,3.0,18.0,20.0,10.25,10.833333333333334,10.5,-0.24195857964985723,-0.44172901370871687,0.44515141332185826,0.582090846350882,0.062484774257327735,0.040091291350445236,-0.22951727763410631,-0.3976118072017026,0.988142951212402,0.43746991236775357,-0.02826545017281271,1.0945297833793333,-0.6860974506484133,-1.038258948182926,-0.022624794114233713,0.12792013299255608,0.04189446036010479
19,ZAMORA CHINCHIPE,ZAM,Amazonia,2023,1561.25249283208,2023,0.0252,0.6987,0.2052,28040.66481619389,2024,8346,0.3697650458902468,12671.559781133436,2022,0.6303244933452281,11.182498812107514,0.5010412893879029,0.5366080037486596,0.1325817991763762,2023,0.117466551,14.0,3.0,12.0,16.0,12.0,21.0,1.0,1.0,17.0,9.0,6.0,14.0,13.0,3.0,10.0,10.333333333333334,10.142857142857142,-0.3627208434332205,1.0357641142300453,0.20311770554338143,-0.4609801388338047,-0.1574069996318482,-0.5231250038804743,2.6857280892703104,3.2232523011533822,-0.39108089671127527,0.09908580966857491,0.8391896490279706,-0.22438253886986123,-0.25642521544496827,1.1071846491884842,0.7054536530522215,0.1955952428098208,0.4869429058054783
21,SUCUMBIOS,SUC,Amazonia,2023,2925.675063859649,2023,0.0274,0.7489,0.1165,33859.064814107944,2024,11854,0.0555464476969799,9265.48323726632,2022,0.644869205181545,10.908703114564558,0.5922644454434786,0.5928226154943873,0.2262202659109409,2023,0.119727848,8.0,2.0,13.0,17.0,1.0,16.0,17.0,15.0,12.0,14.0,2.0,17.0,16.0,4.0,11.125,10.833333333333334,11.0,-0.20320604044392301,1.4541718747266887,0.10265088344665516,-0.8174278138254404,2.164545422269333,-0.47496268606680725,-0.5999172707834481,-0.320444118227968,0.21506915511918617,-0.36056484813979117,1.290196792470144,-0.8731731696344488,-0.6357098865247843,1.0771261399624785,0.16317628138688628,0.11882403054213074,0.14416817388199107
22,ORELLANA,ORE,Amazonia,2023,5487.073374235592,2023,0.0126,0.7949,0.2124,66628.35784005222,2024,9710,0.0680706407826982,9302.810056018225,2022,0.6184743585520899,10.884301834269523,0.6868595291079426,0.5974111524653338,0.2920468144439687,2023,0.189619428,4.0,1.0,5.0,20.0,16.0,18.0,14.0,14.0,19.0,15.0,1.0,23.0,17.0,10.0,11.5,14.166666666666666,12.642857142857142,0.09624733678145446,3.81064900124929,0.7785185957337227,-1.144053173379529,-0.3458856629654281,-0.5043982645709413,-0.46895730489626836,-0.2816091383752133,-0.8849346010606088,-0.40152993502622475,1.6072485838102903,-1.545945376293324,-0.6666691279340304,0.14808554854519435,0.2425639236971359,-0.29062415132645053,0.014054748687027413
23,SANTO DOMINGO DE LOS TSACHILAS,SDT,Costa,2023,1887.613067067669,2023,0.0192,0.5505,0.1975,9135.049116630336,2024,30917,0.1110052431995342,8413.139365023717,2022,0.6498643930957119,11.028230600729056,0.4670244243926462,0.2488371479748219,0.1334282683089606,2023,0.120073902,10.0,10.0,9.0,6.0,11.0,9.0,9.0,22.0,9.0,11.0,5.0,11.0,3.0,5.0,10.75,7.333333333333333,9.285714285714286,-0.32456599037808725,-0.32376021006881045,0.47711812944354404,0.5913215630339321,0.04416045976656289,-0.2132414020069623,-0.020009094867455012,-1.2072262821773607,0.42324333190245533,-0.15990103882966739,0.8432666447201475,0.017549710036994254,1.6851887348965515,1.0725261836755793,-0.12202535340682957,0.6469789277336768,0.20754790993910172
24,SANTA ELENA,SEL,Costa,2023,1147.2903077694236,2023,0.0286,0.6199,0.2745,8317.474295473956,2024,14206,0.0748074379135576,8856.692698381934,2022,0.638013143738577,10.921850879054148,0.4726793481789262,0.4768817970886748,0.1075790374220643,2023,0.326304446,17.0,12.0,15.0,11.0,23.0,14.0,12.0,19.0,15.0,13.0,7.0,12.0,9.0,22.0,15.375,13.0,14.357142857142858,-0.41111721109632515,-0.3825529451989362,0.04785079866662267,0.09854330318493786,-1.9715141342175524,-0.44267141711077956,-0.39851358717266877,-0.7457515211194075,-0.07065682183906569,-0.3384922639078885,0.7187645230063912,-0.022668823599258293,0.14655247922174058,-1.668813281909091,-0.5257158392580136,-0.2058856981711953,-0.38864577879223433
