hs_code,export_value,import_value,national_export_share,year
060315,1272153,0,3.685497616742236e-05,2024
071090,1271898,490532,3.684758867635588e-05,2024
850720,1250245,11235750,3.622028928787572e-05,2024
880211,1244593,3897456,3.605654772117874e-05,2024
390120,1235625,88299489,3.5796739800064336e-05,2024
290410,1233947,654928,3.5748127211791594e-05,2024
340119,1221973,7392576,3.540123380775237e-05,2024
220710,1211038,6203841,3.508444080848989e-05,2024
320300,1207527,4014228,3.498272519619811e-05,2024
380894,1205224,10578491,3.491600601217419e-05,2024
440890,1176179,1114499,3.407455629442579e-05,2024
220840,1175791,1882297,3.406331571978347e-05,2024
293621,1168766,1077285,3.385979758354031e-05,2024
030344,1161578,6853300,3.365155724712525e-05,2024
252329,1158720,724497,3.3568759406074294e-05,2024
853710,1156917,27793856,3.351652549865132e-05,2024
720211,1155098,184148,3.346382806237711e-05,2024
392112,1152982,5657442,3.340252637180195e-05,2024
110290,1152324,67322,3.338346374779511e-05,2024
200820,1130157,1834,3.2741273494969195e-05,2024
261610,1123555,4840,3.255000990273043e-05,2024
090422,1119100,583384,3.242094608821608e-05,2024
330300,1118219,22591235,3.2395423030845234e-05,2024
281700,1116938,1745171,3.235831175219364e-05,2024
852721,1113052,563153,3.224573218245116e-05,2024
902300,1111992,3889274,3.221502339605717e-05,2024
730900,1111484,3854521,3.220030635503062e-05,2024
903090,1100333,1123072,3.1877255716276536e-05,2024
841350,1100268,5747292,3.1875372630318416e-05,2024
841182,1085892,8015428,3.1458891957488287e-05,2024
040310,1076562,14904,3.1188596696114814e-05,2024
071360,1076321,0,3.1181614792793157e-05,2024
611710,1076095,586242,3.1175067447769536e-05,2024
340213,1074605,9655199,3.1131901323498744e-05,2024
846229,1073581,1016133,3.1102235477020026e-05,2024
681381,1067575,5096565,3.092823833448958e-05,2024
640299,1049293,47398276,3.0398598680852935e-05,2024
940320,1046920,27437358,3.032985155810489e-05,2024
848071,1041820,7667226,3.018210173677534e-05,2024
521132,1040523,815448,3.0144526929272508e-05,2024
