codigo_clase,class_name,sector,phi_mass,phi_mass_noself,n_neighbors_pos
9492,Activities of political organizations,Terciario,1.032238,0.032238,5
9499,Activities of other membership organizations n.e.c.,Terciario,1.514095,0.514095,88
9511,Repair of computers and peripheral equipment,Terciario,1.593983,0.593983,154
9512,Repair of communication equipment,Terciario,1.330891,0.330891,91
9521,Repair of consumer electronics,Terciario,1.207664,0.207664,64
9522,Repair of household appliances and home and garden equipment,Terciario,1.422255,0.422255,106
9523,Repair of footwear and leather goods,Terciario,1.048145,0.048145,24
9524,Repair of furniture and home furnishings,Terciario,1.10247,0.10247,40
9529,Repair of other personal and household goods,Terciario,1.323049,0.323049,86
9601,Washing and (dry-) cleaning of textile and fur products,Terciario,1.380169,0.380169,134
9602,Hairdressing and other beauty treatment,Terciario,1.695659,0.695659,199
9603,Funeral and related activities,Terciario,1.693361,0.693361,124
9609,Other personal service activities n.e.c.,Terciario,2.177225,1.177225,348
9700,Activities of households as employers of domestic personnel,Terciario,1.113211,0.113211,60
9800,,,1.056453,0.056453,31
9820,Undifferentiated service-producing activities of private households for own use,Terciario,1.010112,0.010112,2
9900,Activities of extraterritorial organizations and bodies,Terciario,1.061262,0.061262,24
9999,,,1.000159,0.000159,2
