codigo_clase,class_name,sector,phi_mass,phi_mass_noself,n_neighbors_pos
2592,Treatment and coating of metals; machining,Secundario,1.32468,0.32468,110
2593,"Manufacture of cutlery, hand tools and general hardware",Secundario,1.265555,0.265555,76
2599,Manufacture of other fabricated metal products n.e.c.,Secundario,1.460643,0.460643,92
2610,Manufacture of electronic components and boards,Secundario,1.299685,0.299685,25
2620,Manufacture of computers and peripheral equipment,Secundario,1.146957,0.146957,31
2630,Manufacture of communication equipment,Secundario,1.281196,0.281196,38
2640,Manufacture of consumer electronics,Secundario,1.152991,0.152991,33
2651,"Manufacture of measuring, testing, navigating and control equipment",Secundario,1.137972,0.137972,27
2652,Manufacture of watches and clocks,Secundario,1.000196,0.000196,1
2660,"Manufacture of irradiation, electromedical and electrotherapeutic equipment",Secundario,1.173639,0.173639,17
2670,Manufacture of optical instruments and photographic equipment,Secundario,1.075643,0.075643,19
2710,"Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus",Secundario,1.305444,0.305444,66
2720,Manufacture of batteries and accumulators,Secundario,1.067591,0.067591,14
2731,Manufacture of fibre optic cables,Secundario,1.01903,0.01903,7
2732,Manufacture of other electronic and electric wires and cables,Secundario,1.123694,0.123694,10
2733,Manufacture of wiring devices,Secundario,1.021437,0.021437,6
2740,Manufacture of electric lighting equipment,Secundario,1.15675,0.15675,50
2750,Manufacture of domestic appliances,Secundario,1.041881,0.041881,22
2790,Manufacture of other electrical equipment,Secundario,1.518142,0.518142,51
2811,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",Secundario,1.28321,0.28321,47
2812,Manufacture of fluid power equipment,Secundario,1.37518,0.37518,34
2813,"Manufacture of other pumps, compressors, taps and valves",Secundario,1.815707,0.815707,49
2814,"Manufacture of bearings, gears, gearing and driving elements",Secundario,1.05607,0.05607,8
2815,"Manufacture of ovens, furnaces and furnace burners",Secundario,1.774202,0.774202,41
2816,Manufacture of lifting and handling equipment,Secundario,1.62972,0.62972,34
2817,Manufacture of office machinery and equipment (except computers and peripheral equipment),Secundario,1.055258,0.055258,15
2818,Manufacture of power-driven hand tools,Secundario,1.070366,0.070366,14
2819,Manufacture of other general-purpose machinery,Secundario,1.456334,0.456334,111
2821,Manufacture of agricultural and forestry machinery,Secundario,1.16916,0.16916,46
2822,Manufacture of metal-forming machinery and machine tools,Secundario,1.641306,0.641306,41
2823,Manufacture of machinery for metallurgy,Secundario,1.012101,0.012101,8
2824,"Manufacture of machinery for mining, quarrying and construction",Secundario,1.295919,0.295919,42
2825,"Manufacture of machinery for food, beverage and tobacco processing",Secundario,1.39022,0.39022,43
2826,"Manufacture of machinery for textile, apparel and leather production",Secundario,1.014807,0.014807,6
2829,Manufacture of other special-purpose machinery,Secundario,1.600111,0.600111,59
2910,Manufacture of motor vehicles,Secundario,1.186738,0.186738,30
2920,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Secundario,1.172691,0.172691,60
2930,Manufacture of parts and accessories for motor vehicles,Secundario,1.190993,0.190993,39
3011,Building of ships and floating structures,Secundario,1.713205,0.713205,64
3012,Building of pleasure and sporting boats,Secundario,1.086583,0.086583,18
3020,Manufacture of railway locomotives and rolling stock,Secundario,1.03404,0.03404,20
3030,Manufacture of air and spacecraft and related machinery,Secundario,1.074669,0.074669,12
3040,Manufacture of military fighting vehicles,Secundario,1.00155,0.00155,1
3091,Manufacture of motorcycles,Secundario,1.246506,0.246506,22
3092,Manufacture of bicycles and invalid carriages,Secundario,1.125525,0.125525,14
3099,Manufacture of other transport equipment n.e.c.,Secundario,1.434129,0.434129,19
3100,Manufacture of furniture,Secundario,1.54212,0.54212,172
3211,Manufacture of jewellery and related articles,Secundario,1.24658,0.24658,64
3212,Manufacture of imitation jewellery and related articles,Secundario,1.181545,0.181545,51
3220,Manufacture of musical instruments,Secundario,1.007621,0.007621,14
3230,Manufacture of sports goods,Secundario,1.060982,0.060982,27
3240,Manufacture of games and toys,Secundario,1.135118,0.135118,47
3250,Manufacture of medical and dental instruments and supplies,Secundario,1.233552,0.233552,69
3290,Other manufacturing n.e.c.,Secundario,1.253683,0.253683,93
3311,Repair of fabricated metal products,Secundario,1.198861,0.198861,67
3312,Repair of machinery,Secundario,1.556767,0.556767,156
3313,Repair of electronic and optical equipment,Secundario,1.293283,0.293283,65
3314,Repair of electrical equipment,Secundario,1.322446,0.322446,98
3315,"Repair of transport equipment, except motor vehicles",Secundario,1.334698,0.334698,50
3319,Repair of other equipment,Secundario,1.015883,0.015883,10
