id_code,id_name,id_abbr,region,year,total_pop,share_working_age,avg_schooling,share_nbi_poor,share_rural,share_indigenous,share_inmigrant,share_outmigrant,net_migration_rate,share_inmigrant_5y,share_outmigrant_5y,net_migration_rate_5y
13,MANABÍ,MAN,Costa,2022,1592840,0.6516756234147811,10.73907777262401,0.6012042006061278,0.41970003264609124,0.0018382260616257753,0.08870005775846915,0.26149481861113116,-0.2273354511438688,0.022847869214735944,0.0245347677331972,0.0005807237387308204
14,MORONA SANTIAGO,MOR,Amazonia,2022,192508,0.572989174475866,10.576914510101552,0.6540797547611475,0.6735927857543582,0.5855444968520789,0.17212271697799572,0.1453867508573295,0.03338043094312964,0.04384752841440356,0.038617922908722915,0.01054501631101045
15,NAPO,NAP,Amazonia,2022,131675,0.6232542244161762,11.60037645371636,0.6171251582978593,0.6607176760964496,0.6495386367951396,0.22619327890639834,0.22606913618436317,0.004184545281944181,0.04915131953673818,0.049686205866029114,0.004959179798746915
16,PASTAZA,PAS,Amazonia,2022,111915,0.6075771791091453,11.731658452538365,0.5293189398558261,0.657007550373051,0.5083054103560738,0.3192869588527007,0.20402033767403943,0.14933655006031363,0.06438815172228923,0.05900026752824481,0.013152839208327749
17,PICHINCHA,PIC,Sierra,2022,3089473,0.6874169154415656,12.979241141890071,0.15867752675594665,0.36620938263580877,0.06234299506744354,0.23593473708946477,0.07925135548793447,0.17365388854345062,0.024053293231564087,0.026238667413678328,-0.00011005113169786562
18,TUNGURAHUA,TUN,Sierra,2022,563532,0.663419291184884,11.384060824174938,0.31559572514729345,0.6002906667234513,0.1354954110857946,0.13700552941092964,0.17977811702019145,-0.04751992788342099,0.030266249299063762,0.027726199659649026,0.00488171035540129
19,ZAMORA CHINCHIPE,ZAM,Amazonia,2022,110973,0.6303244933452281,11.182498812107514,0.5010412893879029,0.5366080037486596,0.189109062564768,0.31384210573743165,0.21300816451875934,0.13258179917637625,0.05886116442738324,0.04393586574069325,0.020266190875257946
20,GALÁPAGOS,GAL,Isla,2022,28583,0.7020606654305006,12.978676368995533,0.3139371352225582,0.20438722317461427,0.09344715390266942,0.5809397194136374,0.19253919372900336,0.484693699051884,0.12367491166077739,0.07306398670827086,0.060595458839170134
21,SUCUMBIOS,SUC,Amazonia,2022,199014,0.644869205181545,10.908703114564558,0.5922644454434786,0.5928226154943873,0.1628176912177033,0.35872853166108915,0.18537836982882852,0.22622026591094094,0.04090164511039424,0.04684348698072178,-0.0008793351221522104
22,ORELLANA,ORE,Amazonia,2022,182166,0.6184743585520899,10.884301834269523,0.6868595291079426,0.5974111524653338,0.37250639526585644,0.38490717257885665,0.13677342151860866,0.2920468144439687,0.04927373933664899,0.04068963339543402,0.01390489992644072
23,SANTO DOMINGO DE LOS TSACHILAS,SDT,Costa,2022,492969,0.6498643930957119,11.028230600729055,0.46702442439264624,0.24883714797482195,0.013883225922928217,0.3437234389992068,0.24981625664789472,0.1334282683089606,0.034837890415015955,0.04583528513294808,-0.00704303921747615
24,SANTA ELENA,SEL,Costa,2022,385735,0.638013143738577,10.921850879054148,0.4726793481789262,0.47688179708867484,0.012329708219373405,0.1821613283731059,0.0853882227234952,0.10757903742206437,0.030842417722011226,0.01721412209150557,0.015627308903781095
