margen,rank,opportunity_hs4_code,opportunity_product_name,opportunity_sector,opportunity_priority_score,opportunity_accessible_market_busd,route,anchor_hs4_code,anchor_product_name,isic4_code,isic4_name,crosswalk_weight,crosswalk_weight_ec_mix,crosswalk_weight_used,export_value_allocated,anchor_to_candidate_proximity,anchor_density_percentile
extensivo,15,3504,Peptonas,Químicos,0.5968904751401102,1.245394728,ancla,3203,Materias colorantes de origen animal o vegetal,2011,Manufacture of basic chemicals,1.0,1.0,1.0,1213151.0,0.3270788735269641,2.8169014084507045
extensivo,15,3504,Peptonas,Químicos,0.5968904751401102,1.245394728,producto,,,2029,Manufacture of other chemical products n.e.c.,1.0,1.0,1.0,2353738.0,,
extensivo,16,7308,"Estructuras y sus partes, de hierro o acero",Metales,0.5888065741503897,1.755622445,ancla,7604,Barras y perfiles de aluminio,2420,Manufacture of basic precious and other non-ferrous metals,1.0,1.0,1.0,59233983.0,0.4709760331320405,28.169014084507044
extensivo,16,7308,"Estructuras y sus partes, de hierro o acero",Metales,0.5888065741503897,1.755622445,ancla,7310,"Depósitos y recipientes similares < 300 litros, de hierro o acero",2599,Manufacture of other fabricated metal products n.e.c.,1.0,1.0,1.0,9634457.0,0.4392203138784114,32.3943661971831
extensivo,16,7308,"Estructuras y sus partes, de hierro o acero",Metales,0.5888065741503897,1.755622445,producto,,,2511,Manufacture of structural metal products,1.0,1.0,1.0,4957206.0,,
extensivo,17,5509,"Hilados de fibras sintéticas discontinuas, no para venta al por menor",Textiles,0.5728625400499331,1.185811334,ancla,1605,Invertebrados acuáticos preparados,1020,"Processing and preserving of fish, crustaceans and molluscs",0.7366682840207628,0.6562043455716633,0.6562043455716633,38940808.52781918,0.3012103549358351,30.985915492957744
extensivo,17,5509,"Hilados de fibras sintéticas discontinuas, no para venta al por menor",Textiles,0.5728625400499331,1.185811334,ancla,1605,Invertebrados acuáticos preparados,1075,Manufacture of prepared meals and dishes,0.260072552808386,0.3437956544283367,0.3437956544283367,13747619.792963777,0.3012103549358351,30.985915492957744
extensivo,17,5509,"Hilados de fibras sintéticas discontinuas, no para venta al por menor",Textiles,0.5728625400499331,1.185811334,ancla,5211,Tejidos de algodón de < 85% weighing > 200 g/m2,1312,Weaving of textiles,1.0,1.0,1.0,9068149.0,0.318897193843635,5.633802816901409
extensivo,17,5509,"Hilados de fibras sintéticas discontinuas, no para venta al por menor",Textiles,0.5728625400499331,1.185811334,ancla,1605,Invertebrados acuáticos preparados,0149,Raising of other animals,0.0032591631708511,0.0,0.0,172281.67921704045,0.3012103549358351,30.985915492957744
extensivo,17,5509,"Hilados de fibras sintéticas discontinuas, no para venta al por menor",Textiles,0.5728625400499331,1.185811334,producto,,,1311,Preparation and spinning of textile fibres,1.0,1.0,1.0,1341853.0,,
