id_code,id_name,id_abbr,region,year,ciiu_code,ciiu_name,sector,gva_real,ciiu_share,total_gva
03,CAÑAR,CAÑ,Sierra,2021,B,Minas y canteras,Primario,0.6009262714097496,0.07916497992519318,759.080937022398
03,CAÑAR,CAÑ,Sierra,2022,B,Minas y canteras,Primario,0.6148225927605915,0.078903499131722,779.2082727968792
03,CAÑAR,CAÑ,Sierra,2023,B,Minas y canteras,Primario,0.7184144360902256,0.09440067981961839,761.0267611027568
03,CAÑAR,CAÑ,Sierra,2018,C,Manufactura,Secundario,94.00228,11.710689110745973,802.7049400000001
03,CAÑAR,CAÑ,Sierra,2019,C,Manufactura,Secundario,96.63543228210247,12.24225857111478,789.3595100998006
03,CAÑAR,CAÑ,Sierra,2020,C,Manufactura,Secundario,82.55383274680995,11.592546489761657,712.1285458697113
03,CAÑAR,CAÑ,Sierra,2021,C,Manufactura,Secundario,89.36504453227931,11.772795254591204,759.080937022398
03,CAÑAR,CAÑ,Sierra,2022,C,Manufactura,Secundario,91.17630037557834,11.701146350552902,779.2082727968792
03,CAÑAR,CAÑ,Sierra,2023,C,Manufactura,Secundario,103.82986506265665,13.643392107815396,761.0267611027568
03,CAÑAR,CAÑ,Sierra,2018,D,Electricidad,Secundario,14.495669999999999,1.805852845505099,802.7049400000001
03,CAÑAR,CAÑ,Sierra,2019,D,Electricidad,Secundario,16.284827677977383,2.0630431976322745,789.3595100998006
03,CAÑAR,CAÑ,Sierra,2020,D,Electricidad,Secundario,15.023909523169912,2.1097187593879485,712.1285458697113
03,CAÑAR,CAÑ,Sierra,2021,D,Electricidad,Secundario,14.903480790513834,1.963358591110829,759.080937022398
03,CAÑAR,CAÑ,Sierra,2022,D,Electricidad,Secundario,13.99119911457861,1.795566038378776,779.2082727968792
03,CAÑAR,CAÑ,Sierra,2023,D,Electricidad,Secundario,12.713671979949876,1.6705946005797851,761.0267611027568
03,CAÑAR,CAÑ,Sierra,2018,E,Agua,Secundario,3.26775,0.4070922996935835,802.7049400000001
03,CAÑAR,CAÑ,Sierra,2019,E,Agua,Secundario,3.862528170326015,0.4893243345909225,789.3595100998006
03,CAÑAR,CAÑ,Sierra,2020,E,Agua,Secundario,4.238027562122229,0.5951211458524519,712.1285458697113
03,CAÑAR,CAÑ,Sierra,2021,E,Agua,Secundario,5.501122740447958,0.7247083245202927,759.080937022398
03,CAÑAR,CAÑ,Sierra,2022,E,Agua,Secundario,3.920431214732832,0.503130081083571,779.2082727968792
03,CAÑAR,CAÑ,Sierra,2023,E,Agua,Secundario,3.9328469172932334,0.5167816847326615,761.0267611027568
03,CAÑAR,CAÑ,Sierra,2018,F,Construcción,Secundario,56.2193,7.003731657612571,802.7049400000001
03,CAÑAR,CAÑ,Sierra,2019,F,Construcción,Secundario,52.616124125083175,6.6656730490813745,789.3595100998006
03,CAÑAR,CAÑ,Sierra,2020,F,Construcción,Secundario,36.73088193418402,5.15790051490285,712.1285458697113
03,CAÑAR,CAÑ,Sierra,2021,F,Construcción,Secundario,45.903179762845845,6.047204919004756,759.080937022398
03,CAÑAR,CAÑ,Sierra,2022,F,Construcción,Secundario,46.948805602830454,6.025193422846124,779.2082727968792
03,CAÑAR,CAÑ,Sierra,2023,F,Construcción,Secundario,47.176729423558896,6.199089419036725,761.0267611027568
03,CAÑAR,CAÑ,Sierra,2018,G,Comercio,Terciario,79.74956,9.93510267919866,802.7049400000001
03,CAÑAR,CAÑ,Sierra,2019,G,Comercio,Terciario,78.24987784431138,9.913084829296357,789.3595100998006
03,CAÑAR,CAÑ,Sierra,2020,G,Comercio,Terciario,63.45810331766286,8.911046142682357,712.1285458697113
03,CAÑAR,CAÑ,Sierra,2021,G,Comercio,Terciario,74.65727198945982,9.835218927024238,759.080937022398
03,CAÑAR,CAÑ,Sierra,2022,G,Comercio,Terciario,87.32300271069582,11.2066318799799,779.2082727968792
03,CAÑAR,CAÑ,Sierra,2023,G,Comercio,Terciario,94.2136226566416,12.379804163538543,761.0267611027568
03,CAÑAR,CAÑ,Sierra,2018,H,Transporte,Terciario,57.62678,7.1790737951606465,802.7049400000001
03,CAÑAR,CAÑ,Sierra,2019,H,Transporte,Terciario,61.019031164338,7.730195225825964,789.3595100998006
03,CAÑAR,CAÑ,Sierra,2020,H,Transporte,Terciario,52.59879908663533,7.386138274010243,712.1285458697113
03,CAÑAR,CAÑ,Sierra,2021,H,Transporte,Terciario,59.04019372859025,7.777852248560442,759.080937022398
03,CAÑAR,CAÑ,Sierra,2022,H,Transporte,Terciario,57.3284699700626,7.357271729712083,779.2082727968792
03,CAÑAR,CAÑ,Sierra,2023,H,Transporte,Terciario,66.09859488721803,8.685449482937846,761.0267611027568
03,CAÑAR,CAÑ,Sierra,2018,I,Alojamiento,Terciario,4.506399999999999,0.5614018022612393,802.7049400000001
03,CAÑAR,CAÑ,Sierra,2019,I,Alojamiento,Terciario,5.177482475049901,0.6559093047976707,789.3595100998006
03,CAÑAR,CAÑ,Sierra,2020,I,Alojamiento,Terciario,3.0710690127602422,0.43125205843414044,712.1285458697113
03,CAÑAR,CAÑ,Sierra,2021,I,Alojamiento,Terciario,3.4613995256916996,0.4559987422776717,759.080937022398
03,CAÑAR,CAÑ,Sierra,2022,I,Alojamiento,Terciario,4.09402908101243,0.52540883149474,779.2082727968792
03,CAÑAR,CAÑ,Sierra,2023,I,Alojamiento,Terciario,2.17399619047619,0.2856661948820284,761.0267611027568
03,CAÑAR,CAÑ,Sierra,2018,J,Información y comunicaciones,Terciario,3.1641300000000006,0.39418344678431905,802.7049400000001
03,CAÑAR,CAÑ,Sierra,2019,J,Información y comunicaciones,Terciario,3.1491538522954095,0.39895051773016005,789.3595100998006
03,CAÑAR,CAÑ,Sierra,2020,J,Información y comunicaciones,Terciario,2.8778418804566823,0.40411831503566814,712.1285458697113
03,CAÑAR,CAÑ,Sierra,2021,J,Información y comunicaciones,Terciario,2.8684093807641635,0.377879253827122,759.080937022398
03,CAÑAR,CAÑ,Sierra,2022,J,Información y comunicaciones,Terciario,3.0983723487253925,0.39763083335911437,779.2082727968792
03,CAÑAR,CAÑ,Sierra,2023,J,Información y comunicaciones,Terciario,2.598094035087719,0.3413932555174514,761.0267611027568
03,CAÑAR,CAÑ,Sierra,2018,K,Financiero,Terciario,57.792350000000006,7.199700303326899,802.7049400000001
03,CAÑAR,CAÑ,Sierra,2019,K,Financiero,Terciario,58.136024271457096,7.364961532433659,789.3595100998006
03,CAÑAR,CAÑ,Sierra,2020,K,Financiero,Terciario,54.43777998656817,7.64437548562025,712.1285458697113
03,CAÑAR,CAÑ,Sierra,2021,K,Financiero,Terciario,62.40442772068512,8.221050572745943,759.080937022398
03,CAÑAR,CAÑ,Sierra,2022,K,Financiero,Terciario,69.32494593486346,8.896844188528629,779.2082727968792
03,CAÑAR,CAÑ,Sierra,2023,K,Financiero,Terciario,69.46431318295738,9.127709659289897,761.0267611027568
03,CAÑAR,CAÑ,Sierra,2018,L,Inmobiliario,Terciario,15.937400000000002,1.9854618061774978,802.7049400000001
03,CAÑAR,CAÑ,Sierra,2019,L,Inmobiliario,Terciario,15.305126280771791,1.9389297379639765,789.3595100998006
03,CAÑAR,CAÑ,Sierra,2020,L,Inmobiliario,Terciario,12.029545520483547,1.689237931866929,712.1285458697113
03,CAÑAR,CAÑ,Sierra,2021,L,Inmobiliario,Terciario,13.241382450592884,1.744396651895129,759.080937022398
03,CAÑAR,CAÑ,Sierra,2022,L,Inmobiliario,Terciario,12.260043675950286,1.5733975246366747,779.2082727968792
03,CAÑAR,CAÑ,Sierra,2023,L,Inmobiliario,Terciario,14.065914987468672,1.8482812571645475,761.0267611027568
03,CAÑAR,CAÑ,Sierra,2018,M-N,Act. Profesionales y servicios admin.,Terciario,31.946549999999995,3.9798621396300353,802.7049400000001
03,CAÑAR,CAÑ,Sierra,2019,M-N,Act. Profesionales y servicios admin.,Terciario,32.29521288090487,4.091318653628651,789.3595100998006
03,CAÑAR,CAÑ,Sierra,2020,M-N,Act. Profesionales y servicios admin.,Terciario,25.130688515782406,3.5289539594415076,712.1285458697113
03,CAÑAR,CAÑ,Sierra,2021,M-N,Act. Profesionales y servicios admin.,Terciario,27.34029259552042,3.6017625080622597,759.080937022398
03,CAÑAR,CAÑ,Sierra,2022,M-N,Act. Profesionales y servicios admin.,Terciario,30.383389668874173,3.8992642570151963,779.2082727968792
03,CAÑAR,CAÑ,Sierra,2023,M-N,Act. Profesionales y servicios admin.,Terciario,30.221598395989975,3.97116106038081,761.0267611027568
03,CAÑAR,CAÑ,Sierra,2018,O,Admin. Publica,Terciario,124.3019,15.48537872459088,802.7049400000001
03,CAÑAR,CAÑ,Sierra,2019,O,Admin. Publica,Terciario,120.04574765136395,15.207994090827675,789.3595100998006
03,CAÑAR,CAÑ,Sierra,2020,O,Admin. Publica,Terciario,130.1076057488247,18.27024158818495,712.1285458697113
03,CAÑAR,CAÑ,Sierra,2021,O,Admin. Publica,Terciario,130.19508764163373,17.151673990436688,759.080937022398
03,CAÑAR,CAÑ,Sierra,2022,O,Admin. Publica,Terciario,132.7969141177538,17.042544176423387,779.2082727968792
03,CAÑAR,CAÑ,Sierra,2023,O,Admin. Publica,Terciario,67.43906786967419,8.861589541470579,761.0267611027568
03,CAÑAR,CAÑ,Sierra,2018,P,Educación,Terciario,77.84566000000001,9.697917144997264,802.7049400000001
03,CAÑAR,CAÑ,Sierra,2019,P,Educación,Terciario,82.12026123752497,10.403404302703887,789.3595100998006
03,CAÑAR,CAÑ,Sierra,2020,P,Educación,Terciario,76.89766146406987,10.798283808459887,712.1285458697113
03,CAÑAR,CAÑ,Sierra,2021,P,Educación,Terciario,76.72416231884057,10.107507457610767,759.080937022398
03,CAÑAR,CAÑ,Sierra,2022,P,Educación,Terciario,93.55211554023406,12.006047523653644,779.2082727968792
03,CAÑAR,CAÑ,Sierra,2023,P,Educación,Terciario,100.3376449122807,13.184509407643908,761.0267611027568
03,CAÑAR,CAÑ,Sierra,2018,Q,Salud,Terciario,25.37112,3.160703109663184,802.7049400000001
03,CAÑAR,CAÑ,Sierra,2019,Q,Salud,Terciario,26.94278408516301,3.4132462763078095,789.3595100998006
03,CAÑAR,CAÑ,Sierra,2020,Q,Salud,Terciario,28.895142941571528,4.057574030582126,712.1285458697113
03,CAÑAR,CAÑ,Sierra,2021,Q,Salud,Terciario,24.244053965744396,3.193869425946213,759.080937022398
03,CAÑAR,CAÑ,Sierra,2022,Q,Salud,Terciario,27.66446657352808,3.5503301927518853,779.2082727968792
03,CAÑAR,CAÑ,Sierra,2023,Q,Salud,Terciario,27.882661654135337,3.663821442196368,761.0267611027568
03,CAÑAR,CAÑ,Sierra,2018,R-S-U,Otros servicios,Terciario,6.78086,0.8447512481983728,802.7049400000001
03,CAÑAR,CAÑ,Sierra,2019,R-S-U,Otros servicios,Terciario,6.640505229540919,0.8412523247742141,789.3595100998006
03,CAÑAR,CAÑ,Sierra,2020,R-S-U,Otros servicios,Terciario,4.289046393552721,0.6022854186128119,712.1285458697113
03,CAÑAR,CAÑ,Sierra,2021,R-S-U,Otros servicios,Terciario,5.782008115942029,0.7617116744655413,759.080937022398
03,CAÑAR,CAÑ,Sierra,2022,R-S-U,Otros servicios,Terciario,5.050297741086818,0.6481319458993101,779.2082727968792
03,CAÑAR,CAÑ,Sierra,2023,R-S-U,Otros servicios,Terciario,5.165712280701754,0.678781948904982,761.0267611027568
03,CAÑAR,CAÑ,Sierra,2018,T,Servicios hogares,Terciario,4.54572,0.566300239786739,802.7049400000001
03,CAÑAR,CAÑ,Sierra,2019,T,Servicios hogares,Terciario,5.337628955422489,0.6761974597287921,789.3595100998006
03,CAÑAR,CAÑ,Sierra,2020,T,Servicios hogares,Terciario,5.23163723304231,0.7346478754973929,712.1285458697113
03,CAÑAR,CAÑ,Sierra,2021,T,Servicios hogares,Terciario,5.934726534914361,0.7818305328802174,759.080937022398
03,CAÑAR,CAÑ,Sierra,2022,T,Servicios hogares,Terciario,6.430179196226074,0.8252195748828076,779.2082727968792
03,CAÑAR,CAÑ,Sierra,2023,T,Servicios hogares,Terciario,6.1652880200501246,0.8101276243054037,761.0267611027568
04,CARCHI,CAR,Sierra,2018,A,Agricultura,Primario,182.02467,30.386234657678095,599.03661
04,CARCHI,CAR,Sierra,2019,A,Agricultura,Primario,199.70628343313373,33.00517980561634,605.0755808915503
04,CARCHI,CAR,Sierra,2020,A,Agricultura,Primario,180.1636448623237,33.50708852854842,537.6881512961719
04,CARCHI,CAR,Sierra,2021,A,Agricultura,Primario,182.5672111725955,31.61660627024652,577.4408853754941
04,CARCHI,CAR,Sierra,2022,A,Agricultura,Primario,172.35177437721129,30.073230197999173,573.1069567268439
04,CARCHI,CAR,Sierra,2023,A,Agricultura,Primario,195.50841844611523,35.01922128660118,558.2888804010024
04,CARCHI,CAR,Sierra,2018,B,Minas y canteras,Primario,0.09437,0.015753628146366546,599.03661
04,CARCHI,CAR,Sierra,2019,B,Minas y canteras,Primario,0.13485966733200266,0.022288069720693953,605.0755808915503
04,CARCHI,CAR,Sierra,2020,B,Minas y canteras,Primario,0.05140265950302216,0.009559939042567503,537.6881512961719
04,CARCHI,CAR,Sierra,2021,B,Minas y canteras,Primario,0.05435404479578392,0.009412919343326196,577.4408853754941
04,CARCHI,CAR,Sierra,2022,B,Minas y canteras,Primario,0.06013271160301189,0.010492406504092139,573.1069567268439
04,CARCHI,CAR,Sierra,2023,B,Minas y canteras,Primario,0.08454817042606516,0.015144161632833653,558.2888804010024
04,CARCHI,CAR,Sierra,2018,C,Manufactura,Secundario,33.56004,5.602335389818663,599.03661
04,CARCHI,CAR,Sierra,2019,C,Manufactura,Secundario,22.9507398003992,3.793036857739717,605.0755808915503
04,CARCHI,CAR,Sierra,2020,C,Manufactura,Secundario,20.38956335795836,3.792079722940981,537.6881512961719
04,CARCHI,CAR,Sierra,2021,C,Manufactura,Secundario,19.617530013175223,3.3973226541481347,577.4408853754941
04,CARCHI,CAR,Sierra,2022,C,Manufactura,Secundario,16.629082492969243,2.9015670282458372,573.1069567268439
04,CARCHI,CAR,Sierra,2023,C,Manufactura,Secundario,18.004981453634088,3.2250295654646823,558.2888804010024
04,CARCHI,CAR,Sierra,2018,D,Electricidad,Secundario,4.77508,0.7971265729485215,599.03661
04,CARCHI,CAR,Sierra,2019,D,Electricidad,Secundario,5.71904255489022,0.9451782116976991,605.0755808915503
04,CARCHI,CAR,Sierra,2020,D,Electricidad,Secundario,6.136006877098724,1.1411832048571329,537.6881512961719
04,CARCHI,CAR,Sierra,2021,D,Electricidad,Secundario,7.496904980237153,1.2982982622302748,577.4408853754941
04,CARCHI,CAR,Sierra,2022,D,Electricidad,Secundario,6.486864018869637,1.131876684226227,573.1069567268439
04,CARCHI,CAR,Sierra,2023,D,Electricidad,Secundario,4.332584862155389,0.7760471351396827,558.2888804010024
04,CARCHI,CAR,Sierra,2018,E,Agua,Secundario,2.19089,0.3657355766620007,599.03661
04,CARCHI,CAR,Sierra,2019,E,Agua,Secundario,2.484491922821025,0.41060852582420254,605.0755808915503
04,CARCHI,CAR,Sierra,2020,E,Agua,Secundario,1.7280141840161183,0.32137851277743434,537.6881512961719
04,CARCHI,CAR,Sierra,2021,E,Agua,Secundario,2.053514835309618,0.3556233871410531,577.4408853754941
04,CARCHI,CAR,Sierra,2022,E,Agua,Secundario,1.6261524158577518,0.2837432693445412,573.1069567268439
04,CARCHI,CAR,Sierra,2023,E,Agua,Secundario,1.4918436090225564,0.2672171453515265,558.2888804010024
04,CARCHI,CAR,Sierra,2018,F,Construcción,Secundario,24.70839,4.124687804974057,599.03661
04,CARCHI,CAR,Sierra,2019,F,Construcción,Secundario,22.78225777777778,3.765192068106467,605.0755808915503
04,CARCHI,CAR,Sierra,2020,F,Construcción,Secundario,14.242556776359974,2.6488507775420223,537.6881512961719
04,CARCHI,CAR,Sierra,2021,F,Construcción,Secundario,18.262711357048747,3.162698004172843,577.4408853754941
04,CARCHI,CAR,Sierra,2022,F,Construcción,Secundario,23.33592373763948,4.071826988616005,573.1069567268439
04,CARCHI,CAR,Sierra,2023,F,Construcción,Secundario,23.48718395989975,4.206994762824149,558.2888804010024
04,CARCHI,CAR,Sierra,2018,G,Comercio,Terciario,64.14096999999998,10.707353929503572,599.03661
04,CARCHI,CAR,Sierra,2019,G,Comercio,Terciario,65.30289948103793,10.792519404735716,605.0755808915503
04,CARCHI,CAR,Sierra,2020,G,Comercio,Terciario,50.94194460711887,9.474254637063554,537.6881512961719
04,CARCHI,CAR,Sierra,2021,G,Comercio,Terciario,62.76034466403162,10.868704702684894,577.4408853754941
04,CARCHI,CAR,Sierra,2022,G,Comercio,Terciario,64.24170700535245,11.209374838555929,573.1069567268439
04,CARCHI,CAR,Sierra,2023,G,Comercio,Terciario,63.06184360902256,11.295557877442786,558.2888804010024
04,CARCHI,CAR,Sierra,2018,H,Transporte,Terciario,65.82598,10.988640577409784,599.03661
